S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (μS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
1,Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395,0,171,14,0.18,28,8,0.04,160,12,32,18,5,0.53,-,-
2,Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767,12.1683,2023,8.19,473,0,31,96,0,50,10,0.03,135,26,17,39,5,0,-,-
3,Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556,0,220,28,0,51,1,0.05,230,38,33,22,1,0.22,-,-
4,Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487,0,214,57,0.16,0,2,0.08,95,18,12,68,8,0.04,-,-
5,Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567,0,232,39,0.13,29,11,0.04,230,28,39,31,1,0.22,-,-
6,Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.0236,13.2765,2023,8.2,526,0,232,25,0.38,28,0,0.09,160,34,18,43,1,1.14,-,-
7,Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.8442,13.0023,2023,8.15,233,0,92,25,0,12,3,0.08,70,24,2,25,1,0.26,-,-
8,Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.8809,12.6982,2023,8.13,457,0,201,32,0.12,26,1,0.1,220,14,45,12,0,0,-,-
9,Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775,12.3488,2023,8.09,413,0,214,25,0,8,2,0.07,180,34,23,13,1,0.13,-,-
10,Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.8189,12.5284,2023,8.08,276,0,122,21,0,13,4,0.02,95,24,9,23,3,0.26,-,-
11,Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.0135,13.2588,2023,8.18,271,0,98,28,0,15,2,0.03,105,8,21,15,2,0.09,-,-
12,Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.8839,13.163,2023,8.25,72,0,31,7,0.03,1,1,0,30,6,4,3,1,0,-,-
13,Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964,13.2873,2023,8.12,1081,0,98,163,0.69,186,0,0.01,255,12,55,113,5,1.89,-,-
14,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9248,12.3653,2023,8.14,315,0,128,28,0,12,2,0.03,130,32,12,11,4,0.09,-,-
15,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9237,12.3644,2023,8.15,353,0,159,14,0,30,0,0.09,165,12,33,9,0,0.22,-,-
16,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Forest Area),92.9231,12.3667,2023,8.17,628,0,342,28,0,10,3,0.01,320,14,69,7,3,0,-,-
17,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Sec. School),92.9176,12.3671,2023,8.13,342,0,177,18,0.03,7,0,0,140,24,19,12,0,0,-,-
18,Andaman & Nicobar Islands,North & Middle Andaman,Milangram,92.9431,13.3148,2023,8.16,247,0,79,39,0.02,11,1,0.08,80,14,11,20,2,0,-,-
19,Andaman & Nicobar Islands,North & Middle Andaman,Mohanpur,92.8357,12.9546,2023,7.91,416,0,201,21,0.11,2,20,0.01,190,34,26,13,3,6.97,-,-
20,Andaman & Nicobar Islands,North & Middle Andaman,Nabagram,92.9491,13.1555,2023,8.21,298,0,116,35,0,0,2,0.09,95,24,9,25,1,0.22,-,-
21,Andaman & Nicobar Islands,North & Middle Andaman,Nimbutala,92.9542,12.4946,2023,8.01,427,0,195,35,0.42,13,11,0.01,200,16,39,11,3,5.44,-,-
22,Andaman & Nicobar Islands,North & Middle Andaman,Padmanavapuram,92.9493,12.6063,2023,7.91,294,0,98,21,0.27,25,26,0.03,70,26,1,37,1,0.18,-,-
23,Andaman & Nicobar Islands,North & Middle Andaman,Pahalgaon,92.8532,12.8393,2023,8.03,405,0,183,35,0.11,11,6,0.1,190,12,39,12,1,0.04,-,-
24,Andaman & Nicobar Islands,North & Middle Andaman,Parnashala,92.9043,12.5244,2023,8.08,703,0,232,103,0,8,3,0.1,230,22,43,60,6,0.18,-,-
25,Andaman & Nicobar Islands,North & Middle Andaman,Phooltala Basti,92.7629,12.4118,2023,8.22,541,0,201,28,0.16,37,13,0.04,200,14,40,41,4,0.95,-,-
26,Andaman & Nicobar Islands,North & Middle Andaman,Porlobjig-15,92.7813,12.496,2023,8.21,290,0,134,18,0,12,3,0.04,115,16,18,13,1,1.97,-,-
27,Andaman & Nicobar Islands,North & Middle Andaman,Rangat,92.9108,12.5057,2023,8.02,558,0,268,28,0.46,14,9,0.06,225,24,40,30,5,0.48,-,-
28,Andaman & Nicobar Islands,North & Middle Andaman,Rest Camp,92.8593,12.8328,2023,7.95,441,0,171,35,0.42,32,8,0,170,34,21,21,1,0.26,-,-
29,Andaman & Nicobar Islands,North & Middle Andaman,Shibpur,93.0421,13.2507,2023,7.81,886,0,275,142,0,7,2,0.1,215,28,35,107,7,0.22,-,-
30,Andaman & Nicobar Islands,North & Middle Andaman,Sitanagar,92.9359,13.2261,2023,8.2,301,0,92,43,0,16,2,0.08,100,16,15,21,1,0.31,-,-
31,Andaman & Nicobar Islands,North & Middle Andaman,South Creek (Sundergarh),92.7919,12.1869,2023,8.02,406,0,140,50,0.08,31,3,0.06,175,18,32,20,2,0,-,-
32,Andaman & Nicobar Islands,North & Middle Andaman,Srinagar,92.8688,13.1399,2023,8.1,513,0,214,74,0,0,2,0.04,145,22,22,50,13,0.53,-,-
